loss	accuracy	val_loss	val_accuracy
1.9448777437210083	0.46852800250053406	1.5412453413009644	0.5619145631790161
1.017002820968628	0.6953208446502686	1.0117645263671875	0.6853469014167786
0.8435978293418884	0.737210750579834	0.9181081056594849	0.7016986608505249
0.7514981031417847	0.7604278326034546	0.8112619519233704	0.7405937314033508
0.6984935998916626	0.7743778824806213	0.7756032347679138	0.7399587035179138
0.6552291512489319	0.7850537896156311	0.7068537473678589	0.7718685269355774
0.6307182312011719	0.7930309176445007	0.67349773645401	0.7803619503974915
0.6073989868164062	0.7950946688652039	0.6355817317962646	0.7888553738594055
0.5838961601257324	0.7996785044670105	0.6347402930259705	0.7814732789993286
0.5664842128753662	0.802416980266571	0.6132596135139465	0.7912366986274719
0.554031491279602	0.807834267616272	0.5895092487335205	0.7946499586105347
0.5407257080078125	0.8103544116020203	0.5826432108879089	0.8056040406227112
0.5291096568107605	0.8162677884101868	0.5507270097732544	0.804413378238678
0.5184648633003235	0.818073570728302	0.5418449640274048	0.8097317218780518
0.5068214535713196	0.8169623613357544	0.5439284443855286	0.8072710037231445
0.4976963698863983	0.8224590420722961	0.5044577717781067	0.8194951415061951
0.49452540278434753	0.8230146169662476	0.5057144165039062	0.82219398021698
0.4807572662830353	0.8256340026855469	0.4966490864753723	0.821558952331543
0.48119091987609863	0.8273603916168213	0.5022498369216919	0.8206064701080322
0.4743155539035797	0.828134298324585	0.5127604007720947	0.8104460835456848
0.46715763211250305	0.8316267728805542	0.4844221770763397	0.8264009952545166
0.46130669116973877	0.8312696218490601	0.4733661115169525	0.8246546983718872
0.45621544122695923	0.8312696218490601	0.4606119990348816	0.8330687284469604
0.4528524577617645	0.8332539796829224	0.49771103262901306	0.8165581822395325
0.4472721815109253	0.8350399136543274	0.4647623896598816	0.8283854722976685
0.4453546702861786	0.8364090919494629	0.47608256340026855	0.8279885649681091
0.4383269250392914	0.8359130024909973	0.4774799644947052	0.8227496147155762
0.4361119270324707	0.8357542753219604	0.4549746513366699	0.8330687284469604
0.4352317154407501	0.8377187848091125	0.43021565675735474	0.8401333689689636
0.4243641793727875	0.8415486216545105	0.4409368336200714	0.8354500532150269
0.4277121424674988	0.8400008082389832	0.44657933712005615	0.8324337005615234
0.419519305229187	0.8413501381874084	0.4561769962310791	0.8291792273521423
0.42039060592651367	0.8428781032562256	0.4469471573829651	0.8272741436958313
0.4190589189529419	0.8424614071846008	0.45289868116378784	0.8309255242347717
0.4110994040966034	0.8431162238121033	0.43270382285118103	0.8339418768882751
0.406796932220459	0.8453585505485535	0.44330865144729614	0.8370376229286194
0.413462370634079	0.8430765271186829	0.43320462107658386	0.8383870720863342
