loss	loss_function	val_loss	val_loss_function
5.671341419219971	5.003453731536865	6.410009860992432	5.7981438636779785
5.117478847503662	4.558558464050293	6.363434791564941	5.796025276184082
5.13791036605835	4.5867509841918945	6.414146423339844	5.8831048011779785
5.0144524574279785	4.521448612213135	6.022322654724121	5.519289016723633
4.375031471252441	3.878507137298584	5.530972957611084	5.048530101776123
4.02040433883667	3.526543617248535	5.356530666351318	4.892264366149902
3.9711720943450928	3.5695784091949463	4.898306846618652	4.451035499572754
3.798157215118408	3.3877227306365967	4.951803684234619	4.519557476043701
3.788900375366211	3.3831279277801514	5.123651504516602	4.70561408996582
3.5752320289611816	3.194469451904297	4.782017707824707	4.3778862953186035
3.54012393951416	3.2188079357147217	4.624997615814209	4.233333110809326
3.4737374782562256	3.086460828781128	4.629666805267334	4.250705242156982
3.310014486312866	2.929861307144165	4.547188758850098	4.180305480957031
3.230677604675293	2.8876802921295166	4.8161940574646	4.460978984832764
3.3007700443267822	2.9608511924743652	4.618867874145508	4.2743401527404785
3.102628469467163	2.764399528503418	4.542197227478027	4.207975387573242
3.076300859451294	2.7621090412139893	4.614094257354736	4.289552688598633
3.1012563705444336	2.7880983352661133	4.525049209594727	4.209214210510254
2.9418931007385254	2.655663251876831	4.407090187072754	4.099974632263184
2.865826368331909	2.5770492553710938	4.525382041931152	4.226681709289551
2.9665565490722656	2.683197498321533	4.416722774505615	4.12583589553833
2.8817009925842285	2.6252541542053223	4.351278305053711	4.067751884460449
2.8767974376678467	2.610264539718628	4.477003574371338	4.200555324554443
2.7810158729553223	2.531871795654297	4.367050647735596	4.097223281860352
2.8509891033172607	2.6070735454559326	4.474503040313721	4.210925579071045
2.7653	2.5208	4.3546	4.0969
2.7949	2.5565	4.4232	4.1710
2.7555	2.5365	4.2902	4.0430
2.7262	2.4914	4.3420	4.0998
2.9000	2.7469	4.2355	3.9973
2.7077	2.4975	4.5210	4.2867
2.6681	2.4460	4.3011	4.0706
2.6045	2.4032	4.1122	3.8852
2.6950507164001465	2.5223805904388428	4.211616516113281	3.9877545833587646
2.6659343242645264	2.4703805446624756	4.429447174072266	4.208629608154297
2.722836971282959	2.5534424781799316	4.40877628326416	4.190832614898682
2.5735127925872803	2.3917648792266846	4.121933460235596	3.9068856239318848
2.582603931427002	2.3977808952331543	4.31559944152832	4.103130340576172
2.5789947509765625	2.401731014251709	4.488459587097168	4.27853536605835
2.620609760284424	2.4074344635009766	4.125415325164795	3.917905807495117
2.548853635787964	2.375335931777954	4.11435604095459	3.9090054035186768
2.5989837646484375	2.422502279281616	4.115354061126709	3.912384033203125
2.6083199977874756	2.443086862564087	4.4460835456848145	4.245406627655029
2.5539042949676514	2.3581173419952393	4.126950263977051	3.928179979324341
2.4573302268981934	2.305817127227783	5.182384490966797	4.986026287078857
2.487484931945801	2.3375654220581055	4.33825159072876	4.143433570861816
2.5522186756134033	2.375220537185669	4.175093173980713	3.9822075366973877
2.4304301738739014	2.2929115295410156	4.014030933380127	3.823000907897949
2.5672130584716797	2.4076998233795166	4.431911945343018	4.242546558380127
2.511645793914795	2.345715045928955	4.27159309387207	4.083670616149902
2.450221538543701	2.2720401287078857	4.055897235870361	3.8698387145996094
2.518444538116455	2.3503658771514893	3.921795606613159	3.7373063564300537
2.4283101558685303	2.2510907649993896	3.95302677154541	3.7702996730804443
2.4134151935577393	2.249730348587036	3.9867215156555176	3.8056576251983643
2.395781993865967	2.2578980922698975	4.025136947631836	3.8455140590667725
2.436307907104492	2.287644147872925	4.093000411987305	3.914757490158081
2.4978561401367188	2.339277505874634	3.9573774337768555	3.780416250228882
2.4281394481658936	2.28887677192688	4.031182765960693	3.8552050590515137
2.3832995891571045	2.234797716140747	3.930443048477173	3.7557685375213623
2.3493804931640625	2.1934516429901123	3.8687336444854736	3.6953089237213135
2.4787590503692627	2.3302032947540283	4.049924373626709	3.877561569213867
2.3953018188476562	2.233821392059326	3.9643304347991943	3.793203115463257
2.469677448272705	2.3414111137390137	3.8658130168914795	3.6957547664642334
2.490692138671875	2.3397104740142822	4.121434688568115	3.952545404434204
2.389662027359009	2.253455638885498	3.9876606464385986	3.819920063018799
2.3494763374328613	2.217336893081665	3.990327835083008	3.8236448764801025
2.3648204803466797	2.2493367195129395	4.09381628036499	3.9280149936676025
2.392326831817627	2.2612075805664062	3.9865615367889404	3.8215529918670654
2.318000316619873	2.1744766235351562	3.8231794834136963	3.6591482162475586
2.443662643432617	2.2955403327941895	4.139919281005859	3.9769484996795654
2.390953302383423	2.2520666122436523	4.077971935272217	3.916027069091797
2.317641496658325	2.1816799640655518	3.769167184829712	3.6082630157470703
2.3306424617767334	2.2046608924865723	3.999492883682251	3.8393824100494385
2.3729465007781982	2.2400288581848145	3.884967565536499	3.7257888317108154
2.3079092502593994	2.170701265335083	3.873300552368164	3.7150704860687256
2.341942310333252	2.1977357864379883	3.90474271774292	3.7473015785217285
2.342092514038086	2.1999926567077637	3.829129219055176	3.672457456588745
2.2908859252929688	2.1679701805114746	3.9223575592041016	3.766620397567749
2.391817808151245	2.273163318634033	4.126185417175293	3.9709653854370117
2.3175394535064697	2.200974702835083	4.262109756469727	4.107763290405273
2.250033140182495	2.113886833190918	3.7579877376556396	3.604315757751465
2.253798723220825	2.101372480392456	3.881707191467285	3.728881359100342
2.271937131881714	2.133358955383301	4.17664909362793	4.024771690368652
2.2108378410339355	2.0996315479278564	3.9504504203796387	3.799571990966797
2.24873423576355	2.1132426261901855	3.891087055206299	3.7408227920532227
2.179570436477661	2.0479183197021484	3.960096836090088	3.810438871383667
2.209202289581299	2.0843453407287598	3.998032569885254	3.84920597076416
2.3326900005340576	2.215085029602051	4.339477062225342	4.1914448738098145
2.2173914909362793	2.0796847343444824	3.9182238578796387	3.7709059715270996
2.2876720428466797	2.1876096725463867	3.8195459842681885	3.672806739807129
2.2975943088531494	2.192796468734741	3.969515800476074	3.823180675506592
2.2562129497528076	2.134892225265503	3.8581032752990723	3.712533712387085
